audit_id,sample_order,lexeme_id,lemma,pos,cefr_level,flelex_frequency,gloss_zh,automated_status,automated_reason,manual_decision,manual_note
lexicon-v1-2026-07-27,24,5602,furieux,ADJ,B1,29.4263,恼羞成怒；气冲冲,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,25,11738,saute,NOM,B2,0.5566,,needs_review,low_frequency_missing_gloss,defer,Sense/POS is unclear without examples; keep out of the map pending review.
lexicon-v1-2026-07-27,26,7932,mathématicien,NOM,B2,2.827,数学家,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,27,711,appréhender,VER,B2,0.7913,擒获,eligible,target_content_with_gloss,agree,CFDICT only reflects the arrest sense and misses understand/anticipate; gloss expansion required.
lexicon-v1-2026-07-27,28,3382,croque-monsieur,NOM,C1,0.0912,,needs_review,low_frequency_missing_gloss,override_eligible,Recognizable cultural lexical item; FLELex frequency understates practical value.
lexicon-v1-2026-07-27,29,13283,un,DET:ART,A1,24493.632,一把,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,30,4724,entendre,VER,A1,743.4353,听到；听见,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,31,2048,cassation,NOM,C1,0.0614,,needs_review,low_frequency_missing_gloss,override_eligible,Valid C1 legal term with a clear family relation to casser/casser-law sense.
lexicon-v1-2026-07-27,32,10655,raison,NOM,A1,316.1925,原因；思路,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,33,10313,prématurément,ADV,B2,0.5978,,needs_review,low_frequency_missing_gloss,override_eligible,Normal B2 adverb with predictable derivation.
lexicon-v1-2026-07-27,34,2260,chausson,NOM,B2,0.6502,布鞋；拖鞋,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,35,864,assagir,VER,C2,0.0363,,excluded,outside_target_cefr,override_eligible,Useful derivational verb despite C2 assignment.
lexicon-v1-2026-07-27,36,6069,haie,NOM,B2,2.6016,不置可否；篱笆,eligible,target_content_with_gloss,agree,CFDICT includes an unrelated gloss; keep the hedge sense and remove 不置可否.
lexicon-v1-2026-07-27,37,7276,kilogramme,NOM,C1,0.0592,公斤；千克,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,38,3538,d'ailleurs,ADV,B1,121.9952,之外；何况,needs_review,missing_lexique_alignment,override_auxiliary,Discourse connector; useful as an auxiliary but not a main lexical node.
lexicon-v1-2026-07-27,39,832,artifice,NOM,A2,8.1111,伎俩,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,40,13576,virer,VER,B2,3.2139,拐弯儿；转帐,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,41,11072,resserrer,VER,C1,0.0652,收紧；紧缩,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,42,13580,virilité,NOM,B2,0.7094,阳刚,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,43,7537,longuement,ADV,B1,16.2205,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,44,278,agacer,VER,B2,2.5863,缠绕,eligible,target_content_with_gloss,agree,CFDICT gloss 缠绕 is wrong for the dominant sense; replace with 惹恼/刺激.
lexicon-v1-2026-07-27,45,982,attester,VER,B2,1.0311,证,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,46,11067,ressemblance,NOM,B2,1.8223,相似,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,47,10273,précoce,ADJ,B2,5.5203,早熟,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,48,7963,maximal,ADJ,B2,0.6496,,needs_review,low_frequency_missing_gloss,override_eligible,Ordinary B2 adjective; missing gloss should not block inclusion.
lexicon-v1-2026-07-27,49,4353,dériver,VER,B2,1.2168,导出；得出,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,50,11119,retransmettre,VER,C1,0.0975,转播,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,51,3265,courir,VER,A1,188.3045,奔流；奔走,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,52,2043,caserne,NOM,B1,3.8714,兵营,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,53,9080,oxyde,NOM,B2,3.06,氧化物,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,54,2878,confirmation,NOM,C2,0.0408,核准；确认,needs_review,advanced_tail,override_auxiliary,Common foundational noun; CEFR C2 appears implausibly high.
lexicon-v1-2026-07-27,55,4780,enviable,ADJ,B2,1.1456,骄人,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,56,8967,oracle,NOM,C1,0.0652,天启,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,57,5057,facile,ADJ,A1,104.5866,便利；容易,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,58,6322,hélas,INT,B1,10.8961,呜；唉,excluded,non_content_pos,agree,
lexicon-v1-2026-07-27,59,1453,bière,NOM,A1,28.0588,啤酒；麦酒,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,60,12652,tailler,VER,B2,4.6647,修剪；修整,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,61,2885,conflictuel,ADJ,B2,0.5978,,needs_review,low_frequency_missing_gloss,override_eligible,Valid B2 adjective and useful family relation.
lexicon-v1-2026-07-27,62,13075,traversée,NOM,A2,4.5932,套管；航程,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,63,3101,contribuer,VER,B1,39.9965,捐赠；贡献,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,64,3151,coq,NOM,B1,12.5426,公鸡；红原鸡,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,65,352,ainsi,KON,A2,112.4166,且说；也就是说,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,66,1462,blanchisseur,NOM,C2,0.0218,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,67,3042,contingence,NOM,B2,1.5522,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,68,13308,université,NOM,A1,112.8667,大学；高等院校,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,69,998,attrister,VER,C1,0.0652,难受,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,70,4423,désormais,ADV,B2,65.158,今后；从今以后,auxiliary,functional_adverb,agree,
lexicon-v1-2026-07-27,71,7125,ivoirien,ADJ,C1,0.1431,,needs_review,low_frequency_missing_gloss,override_excluded,Geographic/demonym tail; exclude from the main map by default.
lexicon-v1-2026-07-27,72,11268,roue,NOM,A1,26.8147,轮子,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,73,14044,éphémère,ADJ,B2,1.0088,忽忽；浮云,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,74,11888,serrure,NOM,B1,3.3711,楗；钥,eligible,target_content_with_gloss,agree,CFDICT 钥 is misleading; use 锁/锁具.
lexicon-v1-2026-07-27,75,11135,revigorer,VER,C2,0.0433,提神,needs_review,advanced_tail,override_eligible,Useful lexical verb and derivational family despite C2 assignment.
lexicon-v1-2026-07-27,76,5137,fatum,NOM,C1,0.0544,,needs_review,low_frequency_missing_gloss,override_excluded,Specialist Latinism with low learner value.
lexicon-v1-2026-07-27,77,13727,vénérable,ADJ,B2,0.7091,可敬,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,78,7957,mauvais,ADJ,A1,139.7015,不佳；不善,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,79,1139,aveugle,NOM,B1,5.8671,盲人；盲目,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,80,3234,coulisse,NOM,B2,0.6227,内情；后台,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,81,8605,naval,ADJ,C1,0.1304,,needs_review,low_frequency_missing_gloss,override_eligible,Normal C1 adjective; supply a gloss.
lexicon-v1-2026-07-27,82,7132,jadis,ADV,B2,3.716,往日；往昔,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,83,7047,investisseur,NOM,C1,0.0652,投资人；投资者,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,84,4527,embarras,NOM,B2,2.4981,周折；苦处,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,85,6040,gérable,ADJ,C1,0.0975,,needs_review,low_frequency_missing_gloss,override_eligible,Common and productive C1 adjective.
lexicon-v1-2026-07-27,86,3976,ducat,NOM,B2,1.4093,,eligible,target_content_high_frequency_missing_gloss,override_excluded,Historical currency; frequency signal is not enough to justify main-map inclusion.
lexicon-v1-2026-07-27,87,4783,environ,ADV,A2,57.3155,上下；内外,auxiliary,functional_adverb,agree,
lexicon-v1-2026-07-27,88,871,assavoir,VER,B2,0.7094,,needs_review,missing_lexique_alignment,override_excluded,Archaic/lexicographically unstable form.
lexicon-v1-2026-07-27,89,2639,combattant,NOM,B1,2.3866,战士,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,90,9009,orgueil,NOM,B2,7.5976,骄傲,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,91,4462,dévastateur,ADJ,B2,1.5662,毁灭性,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,92,5179,ferme,ADV,B1,19.32,农场；农庄,eligible,target_content_with_gloss,agree,The ADV node is valid but CFDICT supplies noun senses; needs POS-specific gloss.
lexicon-v1-2026-07-27,93,3255,courageux,NOM,C2,0.0089,勇敢；勇猛,excluded,missing_lexique_alignment_outside_target,agree,
lexicon-v1-2026-07-27,94,1440,bison,NOM,C2,0.0472,野牛,needs_review,advanced_tail,override_auxiliary,Concrete common noun; retain as non-priority support.
lexicon-v1-2026-07-27,95,2162,cession,NOM,C1,0.1431,,needs_review,low_frequency_missing_gloss,override_eligible,Valid C1 legal/business noun.
lexicon-v1-2026-07-27,96,6166,hindou,ADJ,C1,0.0657,,needs_review,low_frequency_missing_gloss,override_excluded,Demonym/religion adjective requires a separate proper-cultural policy.
lexicon-v1-2026-07-27,97,9779,pointu,ADJ,B2,1.9205,剑尖；尖尖,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,98,2211,chapelain,NOM,C1,0.0657,,needs_review,low_frequency_missing_gloss,override_excluded,Specialist low-frequency occupation.
lexicon-v1-2026-07-27,99,12221,splendide,ADJ,B2,2.4738,光大；光辉,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,100,3990,durable,ADJ,B2,26.3501,不衰；恒久,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,101,6697,indéterminer,VER,C2,0.1431,,excluded,missing_lexique_alignment_outside_target,agree,
lexicon-v1-2026-07-27,102,3277,court-métrage,NOM,C2,0.0456,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,103,785,armoire,NOM,B1,13.4307,机壳；柜子,eligible,target_content_with_gloss,agree,CFDICT 机壳 is a secondary technical sense; keep 衣柜/柜子 as the primary gloss.
lexicon-v1-2026-07-27,104,13509,vice,ADV,B2,0.4885,弊病；恶习,needs_review,missing_lexique_alignment,override_excluded,FLELex ADV analysis is a POS artifact; do not create this node.
lexicon-v1-2026-07-27,105,1529,bonnement,ADV,C1,0.0544,,needs_review,low_frequency_missing_gloss,override_excluded,Rare adverb with low network leverage.
lexicon-v1-2026-07-27,106,4759,entrepreneur,NOM,B2,2.1934,企业家；创业者,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,107,7749,malgré,PRP,B1,81.7064,尽管,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,108,4168,définir,VER,A2,34.1742,确定；订定,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,109,8727,notion,NOM,B1,20.2828,概念,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,110,2800,con,NOM,B2,0.8669,傻B,eligible,target_content_with_gloss,agree,Valid but vulgar; add register metadata before publication.
lexicon-v1-2026-07-27,111,12622,sévèrement,ADV,B2,0.6971,从严；着实,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,112,1138,aveuglant,ADJ,C2,0.0139,眩目；雪亮,needs_review,advanced_tail,override_eligible,Common derivational adjective; CEFR assignment appears too high.
lexicon-v1-2026-07-27,113,3021,contemplation,NOM,C1,0.1431,凝视；静修,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,114,2493,clignement,NOM,C1,0.1431,,needs_review,low_frequency_missing_gloss,override_eligible,Valid C1 noun with a clear family relation.
lexicon-v1-2026-07-27,115,3590,demeure,NOM,B2,12.0057,住处；居所,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,116,1945,capeline,NOM,C2,0.0401,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,117,11839,semblable,ADJ,B1,18.995,一样；仿佛,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,118,6165,hindi,NOM,C1,0.0652,,needs_review,low_frequency_missing_gloss,override_excluded,Language/proper-cultural node; outside default lexical-map policy.
lexicon-v1-2026-07-27,119,5051,fabriquer,VER,A1,47.1656,出品；制作,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,120,7525,londonien,ADJ,B2,1.1907,,eligible,target_content_high_frequency_missing_gloss,override_excluded,Geographic derivative; exclude from main map.
lexicon-v1-2026-07-27,121,3716,digestion,NOM,B2,1.5545,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,122,1213,baisser,VER,B1,51.6029,下跌；减低,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,123,3853,diviser,VER,A2,31.4688,分成；分裂,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,124,3115,convention,NOM,B1,22.4547,习俗；公约,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,125,2320,chiper,VER,B2,1.0388,偷,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,126,10743,ravage,NOM,B2,1.5204,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,127,12492,surtout,ADV,A1,352.3972,切切；千万,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,128,13480,vert,ADJ,A1,112.8047,绿色,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,129,14196,évaluation,NOM,B2,7.817,估价；估值,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,130,9123,palonnier,NOM,C1,0.0652,,needs_review,low_frequency_missing_gloss,override_excluded,Specialist technical noun with low target value.
lexicon-v1-2026-07-27,131,13294,uniforme,NOM,B1,8.3394,一律；一色,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,132,5712,garnir,VER,B2,3.9138,摆设,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,133,6759,infraction,NOM,B2,1.035,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,134,2191,changeant,ADJ,B2,1.4463,善变,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,135,2011,carnet,NOM,A2,7.368,小册子；手册,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,136,3572,de,DET:ART,B1,24.2824,从中,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,137,8863,occipital,ADJ,C2,0.0218,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,138,3575,dedans,ADV,B1,7.8895,在内；里边,eligible,target_content_with_gloss,override_auxiliary,Highly grammaticalized locative adverb; keep outside main coverage.
lexicon-v1-2026-07-27,139,7468,lisibilité,NOM,C1,0.0657,,needs_review,low_frequency_missing_gloss,override_eligible,Productive and useful C1 noun.
lexicon-v1-2026-07-27,140,1777,buveur,NOM,B2,1.3995,酒鬼,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,141,12473,surmonter,VER,B1,3.6696,克服；突破,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,142,3675,dia,INT,B2,0.6231,,excluded,non_content_pos,agree,
lexicon-v1-2026-07-27,143,1745,brève,NOM,B2,2.1297,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,144,5313,flemmarder,VER,C1,0.1431,,needs_review,low_frequency_missing_gloss,override_eligible,Useful colloquial C1 verb and register relation.
lexicon-v1-2026-07-27,145,59,abyme,NOM,C1,0.0912,,needs_review,low_frequency_missing_gloss,override_eligible,Valid in the common expression mise en abyme; editorial context required.
lexicon-v1-2026-07-27,146,12793,terroriste,ADJ,C1,0.0614,恐怖分子,eligible,target_content_with_gloss,agree,ADJ node currently has a noun gloss; add adjective-specific Chinese.
lexicon-v1-2026-07-27,147,3599,demi-heure,NOM,A1,34.689,半小时,excluded,missing_lexique_alignment_outside_target,agree,
lexicon-v1-2026-07-27,148,6553,inattendu,ADJ,B2,6.6183,不料；出乎意料,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,149,2033,carton,NOM,B1,14.3441,夹子；板纸,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,150,1994,carcasse,NOM,B2,0.6065,尸首；构架,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,151,1003,au,PRP:det,A1,7817.3809,,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,152,1670,bravo,INT,A1,14.3975,,excluded,non_content_pos,agree,
lexicon-v1-2026-07-27,153,541,ancien,NOM,B2,5.357,前辈；古老,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,154,12159,sourciller,VER,C1,0.0975,,needs_review,low_frequency_missing_gloss,override_eligible,Valid C1 verb with strong phraseological value.
lexicon-v1-2026-07-27,155,10498,périphérie,NOM,B2,0.7407,周边；外围,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,156,5727,gauche,ADJ,A1,88.7411,左；拙,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,157,5342,fluvial,ADJ,C2,0.0456,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,158,9801,poliment,ADV,B2,1.5485,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,159,3059,contractuel,NOM,C2,0.1431,,needs_review,advanced_tail,agree,
lexicon-v1-2026-07-27,160,9883,porter,NOM,B1,3.8423,佩带；佩戴,needs_review,missing_lexique_alignment,defer,NOM analysis is not aligned in Lexique; inspect source contexts before deciding.
lexicon-v1-2026-07-27,161,4016,débattre,VER,B2,5.6314,争论；争辩,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,162,13944,électroménager,NOM,B2,1.5718,家用电器；家电,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,163,6476,impoli,ADJ,C1,0.0514,不客气；没家教,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,164,6889,insuffisamment,ADV,C1,0.0544,,needs_review,low_frequency_missing_gloss,override_eligible,Normal productive C1 adverb.
lexicon-v1-2026-07-27,165,13847,économie,NOM,A2,71.9294,积蓄；经济,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,166,1402,bienvenir,VER,A1,10.1097,,excluded,missing_lexique_alignment_outside_target,agree,
lexicon-v1-2026-07-27,167,7411,libre,ADJ,A1,166.1903,开源；敞口,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,168,6548,inaltéré,ADJ,B2,0.6006,,needs_review,low_frequency_missing_gloss,override_eligible,Valid B2 adjective and useful derivation.
lexicon-v1-2026-07-27,169,3849,divertissement,NOM,B2,5.0101,娱乐；文娱,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,170,5282,finnois,NOM,C1,0.1228,,needs_review,low_frequency_missing_gloss,override_excluded,Language/demonym node; outside default main-map policy.
lexicon-v1-2026-07-27,171,7842,marbre,NOM,B2,3.4774,大理石；玻璃球,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,172,14226,évolution,NOM,A2,48.2617,动态；渐进,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,173,9356,patte,NOM,B1,12.4681,爪儿；爪子,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,174,826,arthurien,ADJ,B2,1.1119,,eligible,target_content_high_frequency_missing_gloss,override_excluded,Proper-cultural derivative with narrow domain.
lexicon-v1-2026-07-27,175,13758,z,NOM,B2,0.6556,,excluded,invalid_surface,agree,
lexicon-v1-2026-07-27,176,5325,flirter,VER,B2,1.0388,招蜂引蝶；搭讪,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,177,3795,disquaire,NOM,C2,0.0472,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,178,12513,suspecter,VER,C1,0.0544,猜疑；疑惑,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,179,4372,désagrément,NOM,C1,0.0657,烦恼,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,180,11360,réaménager,VER,B2,0.5955,,needs_review,low_frequency_missing_gloss,override_eligible,Common B2 verb; FLELex frequency is too low to be the sole gate.
lexicon-v1-2026-07-27,181,4334,dépouille,NOM,C1,0.0652,遗体,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,182,4403,désinfecter,VER,C2,0.0096,消毒,needs_review,advanced_tail,override_eligible,Common practical verb; C2 assignment is implausibly high.
lexicon-v1-2026-07-27,183,2449,citronnier,NOM,C1,0.0652,,needs_review,low_frequency_missing_gloss,override_eligible,Valid transparent C1 noun with a clear family relation.
lexicon-v1-2026-07-27,184,6066,habité,ADJ,B2,0.8843,载人,eligible,target_content_with_gloss,agree,CFDICT 载人 is too narrow; add inhabited/animated senses.
lexicon-v1-2026-07-27,185,9486,perversité,NOM,C2,0.1431,,needs_review,advanced_tail,agree,
lexicon-v1-2026-07-27,186,13208,turbine,NOM,C2,0.0975,涡轮,needs_review,advanced_tail,agree,
lexicon-v1-2026-07-27,187,1535,boom,NOM,B2,0.7262,,needs_review,low_frequency_missing_gloss,override_eligible,Established loanword with useful economic/event senses.
lexicon-v1-2026-07-27,188,500,amphibiens,NOM,C2,0.1431,,excluded,missing_lexique_alignment_outside_target,agree,
lexicon-v1-2026-07-27,189,9439,perler,VER,C2,0.0433,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,190,10572,quid,PRO,C1,0.2862,,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,191,13188,tsar,NOM,B2,0.9846,,needs_review,low_frequency_missing_gloss,override_eligible,Established B2 historical/political noun.
lexicon-v1-2026-07-27,192,11703,santé,NOM,A1,132.5981,体格；元气,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,193,5359,folio,NOM,C2,0.0433,,excluded,outside_target_cefr,agree,
lexicon-v1-2026-07-27,194,5224,fiction,NOM,B1,25.0225,假定,eligible,target_content_with_gloss,agree,CFDICT 假定 is not an adequate primary gloss; use 小说/虚构.
lexicon-v1-2026-07-27,195,9164,par,PRP,A1,4243.7931,出于；在旁,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,196,6503,imprimante,NOM,C2,0.0212,打印机,needs_review,advanced_tail,override_auxiliary,Foundational common noun; C2 assignment is implausibly high.
lexicon-v1-2026-07-27,197,7398,leur,DET:POS,A1,2240.373,他们的；她们的,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,198,6227,hormis,PRP,B2,0.623,除了,auxiliary,closed_class,agree,
lexicon-v1-2026-07-27,199,6164,himalayen,ADJ,C1,0.1088,,needs_review,low_frequency_missing_gloss,override_excluded,Geographic derivative with narrow main-map value.
lexicon-v1-2026-07-27,200,12010,sociabilité,NOM,B2,4.0527,,eligible,target_content_high_frequency_missing_gloss,agree,
lexicon-v1-2026-07-27,201,7373,laver,VER,A1,58.8269,洗刷；洗去,auxiliary,foundational_content,agree,
lexicon-v1-2026-07-27,202,4064,déchiffrer,VER,B2,1.4571,破解；解码,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,203,12891,tombola,NOM,C1,0.0514,摸彩,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,204,7206,joute,NOM,C1,0.2176,比赛,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,205,754,archipel,NOM,C2,0.0062,群岛,needs_review,advanced_tail,override_eligible,Common geography noun; C2 assignment is implausibly high.
lexicon-v1-2026-07-27,206,5610,fustiger,VER,B2,0.7262,苛责,eligible,target_content_with_gloss,agree,
lexicon-v1-2026-07-27,207,9242,parité,NOM,B2,5.186,比价,eligible,target_content_with_gloss,agree,CFDICT 比价 is too narrow/wrong; add parity/equality senses.
