lexeme_id,lemma,pos,cefr_level,candidate_senses,review_status,approved_sense_ids,reviewer,reviewed_at,notes
3039,continent,NOM,A1,5,accepted,wikt-p0-3039-1-1,Jinyan Shao,2026-08-02,保留大陆核心义
3643,dessiner,VER,A1,7,accepted,wikt-p0-3643-1-1,Jinyan Shao,2026-08-02,保留绘画核心义
3699,dieu,NOM,A1,4,accepted,wikt-p0-3699-1-1,Jinyan Shao,2026-08-02,保留宗教中的神
3753,directeur,NOM,A1,5,accepted,wikt-p0-3753-1-1,Jinyan Shao,2026-08-02,保留机构负责人
4038,début,NOM,A1,4,accepted,wikt-p0-4038-1-1,Jinyan Shao,2026-08-02,保留开始
4107,décor,NOM,A2,6,accepted,wikt-p0-4107-1-1|wikt-p0-4107-1-2,Jinyan Shao,2026-08-02,保留装饰与舞台影视布景
4812,esclave,NOM,A2,7,accepted,wikt-p0-4812-1-1,Jinyan Shao,2026-08-02,保留失去自由并受主人支配的人
4819,espace,NOM,A1,11,accepted,wikt-p0-4819-1-1|wikt-p0-4819-1-2|wikt-p0-4819-1-3|wikt-p0-4819-1-5,Jinyan Shao,2026-08-02,保留空间地点与外太空
5051,fabriquer,VER,A1,4,accepted,wikt-p0-5051-1-1|wikt-p0-5051-1-2,Jinyan Shao,2026-08-02,保留工业制造与手工制作
5233,fier,VER,A2,2,accepted,wikt-p0-5233-1-2,Jinyan Shao,2026-08-02,对应 se fier à 的信任核心义；人工需确认词条展示形式
5365,fonction,NOM,A1,12,accepted,wikt-p0-5365-1-1|wikt-p0-5365-1-2|wikt-p0-5365-1-4,Jinyan Shao,2026-08-02,保留作用职责与职务
5389,football,NOM,A2,2,accepted,wikt-p0-5389-1-1,Jinyan Shao,2026-08-02,保留足球核心义
5702,garder,VER,A1,7,accepted,wikt-p0-5702-1-1|wikt-p0-5702-1-2|wikt-p0-5702-1-4|wikt-p0-5702-1-7,Jinyan Shao,2026-08-02,保留看守保护保有与保存
5718,garçon,NOM,A1,6,accepted,wikt-p0-5718-1-1|wikt-p0-5718-1-2|wikt-p0-5718-1-6,Jinyan Shao,2026-08-02,保留男孩年轻男子与服务员
5952,groupe,NOM,A1,14,accepted,wikt-p0-5952-1-1|wikt-p0-5952-1-2|wikt-p0-5952-1-4,Jinyan Shao,2026-08-02,保留人群乐队与物品集合
6269,humeur,NOM,A1,7,accepted,wikt-p0-6269-1-2,Jinyan Shao,2026-08-02,保留心情
7199,jour,NOM,A1,18,accepted,wikt-p0-7199-1-1|wikt-p0-7199-1-4|wikt-p0-7199-1-5|wikt-p0-7199-1-8,Jinyan Shao,2026-08-02,保留一天日期星期与白昼
7231,jumeau,NOM,A2,2,accepted,wikt-p0-7231-1-1,Jinyan Shao,2026-08-02,保留男性双胞胎
7477,litre,NOM,A1,4,accepted,wikt-p0-7477-1-1,Jinyan Shao,2026-08-02,保留容量单位
7848,marche,NOM,A1,19,accepted,wikt-p0-7848-2-1|wikt-p0-7848-2-5|wikt-p0-7848-2-10|wikt-p0-7848-2-13,Jinyan Shao,2026-08-02,保留行走步行运转与台阶
7852,marché,NOM,A1,16,accepted,wikt-p0-7852-1-1|wikt-p0-7852-1-7|wikt-p0-7852-1-8,Jinyan Shao,2026-08-02,保留集市交易与经济市场
8216,moment,NOM,A1,4,accepted,wikt-p0-8216-1-1|wikt-p0-8216-1-2,Jinyan Shao,2026-08-02,保留时刻与短暂时段
8441,mètre,NOM,A1,7,accepted,wikt-p0-8441-1-1|wikt-p0-8441-1-2,Jinyan Shao,2026-08-02,保留长度单位与测量工具
8465,médias,NOM,A2,1,rejected,,Jinyan Shao,2026-08-02,唯一候选只是 média 的复数跳转；不是自足定义
8677,nombre,NOM,A1,6,accepted,wikt-p0-8677-1-1|wikt-p0-8677-1-3,Jinyan Shao,2026-08-02,保留数与不定数量
8723,note,NOM,A1,12,accepted,wikt-p0-8723-1-1|wikt-p0-8723-1-2|wikt-p0-8723-1-6|wikt-p0-8723-1-9|wikt-p0-8723-1-10,Jinyan Shao,2026-08-02,保留笔记注释分数及音乐记号和声音
8765,nuit,NOM,A1,4,accepted,wikt-p0-8765-1-1,Jinyan Shao,2026-08-02,保留夜晚核心义
9353,patron,NOM,A2,17,accepted,wikt-p0-9353-1-6|wikt-p0-9353-1-9|wikt-p0-9353-1-14,Jinyan Shao,2026-08-02,保留老板雇主与模板
9362,pauvre,NOM,A1,3,accepted,wikt-p0-9362-1-1|wikt-p0-9362-1-3,Jinyan Shao,2026-08-02,保留贫困者
10096,produit,NOM,A1,12,accepted,wikt-p0-10096-1-1|wikt-p0-10096-1-3|wikt-p0-10096-1-5|wikt-p0-10096-1-7,Jinyan Shao,2026-08-02,保留产物商品与乘积
10581,quitter,VER,A1,10,accepted,wikt-p0-10581-1-1|wikt-p0-10581-1-2|wikt-p0-10581-1-3,Jinyan Shao,2026-08-02,保留离开人与地点及放弃
10873,regarder,VER,A1,8,accepted,wikt-p0-10873-1-1|wikt-p0-10873-1-3,Jinyan Shao,2026-08-02,保留看与仔细观察
11202,rive,NOM,A2,5,accepted,wikt-p0-11202-1-1|wikt-p0-11202-1-2,Jinyan Shao,2026-08-02,保留河湖岸与海岸
11708,sapin,NOM,A1,7,accepted,wikt-p0-11708-1-1|wikt-p0-11708-1-3|wikt-p0-11708-1-7,Jinyan Shao,2026-08-02,保留冷杉木材与圣诞树
11739,sauter,VER,A2,21,accepted,wikt-p0-11739-1-1|wikt-p0-11739-1-14,Jinyan Shao,2026-08-02,保留跳跃与跳过障碍
12072,sommeil,NOM,A2,8,accepted,wikt-p0-12072-1-1|wikt-p0-12072-1-2|wikt-p0-12072-1-8,Jinyan Shao,2026-08-02,保留睡眠状态困意与睡眠时段
12739,temps,NOM,A1,16,accepted,wikt-p0-12739-1-1|wikt-p0-12739-1-5|wikt-p0-12739-1-6|wikt-p0-12739-1-16,Jinyan Shao,2026-08-02,保留时间可用时段与天气
12878,toit,NOM,A1,6,accepted,wikt-p0-12878-1-1|wikt-p0-12878-1-2,Jinyan Shao,2026-08-02,保留屋顶与住所
12940,toucher,VER,A1,34,accepted,wikt-p0-12940-1-1|wikt-p0-12940-1-5|wikt-p0-12940-1-6|wikt-p0-12940-1-10|wikt-p0-12940-1-13,Jinyan Shao,2026-08-02,保留触碰接触达到收款与感动
13067,travail,NOM,A1,14,accepted,wikt-p0-13067-1-1|wikt-p0-13067-1-2|wikt-p0-13067-1-4|wikt-p0-13067-1-7,Jinyan Shao,2026-08-02,保留劳动工作成果与待办工作
13074,traverser,VER,A1,8,accepted,wikt-p0-13074-1-1|wikt-p0-13074-1-2|wikt-p0-13074-1-5,Jinyan Shao,2026-08-02,保留穿过横穿马路与经过
13558,ville,NOM,A1,7,accepted,wikt-p0-13558-1-1,Jinyan Shao,2026-08-02,保留城市核心义
13782,âne,NOM,A1,5,accepted,wikt-p0-13782-1-1,Jinyan Shao,2026-08-02,保留驴这一动物义
14099,équipe,NOM,A2,8,accepted,wikt-p0-14099-1-1|wikt-p0-14099-1-4|wikt-p0-14099-1-5,Jinyan Shao,2026-08-02,保留工作团队与体育队
