id,lemma,normalized,pos,cefr_level,flelex_frequency,lexique_frequency,contextual_diversity,phonetic_ipa,morph_base,morph_structure,morph_decomposition,gloss_zh,decision_reason,eligibility_score,has_cfdict
14136,état,état,NOM,B1,122.9521,154.0,38.45377,eta,état,0-1-0,/état,国家；国度,target_content_with_gloss,1.0,1
5006,expérience,expérience,NOM,B1,120.4233,75.158,19.99388,ɛkspeʁjɑ̃s,expérience,0-1-0,/expérience,体会；体验,target_content_with_gloss,1.0,1
9975,pouvoir,pouvoir,NOM,B1,119.7392,124.706,58.33129,puvwaʁ,pouvoir,0-1-1,/pouv(oir).oir,势力；可以,target_content_with_gloss,1.0,1
2679,commissaire,commissaire,NOM,B1,117.8715,25.25,3.40478,komisɛʁ,mission,1-1-1,_com/miss(ion).aire,专员；总监,target_content_with_gloss,1.0,1
4829,esprit,esprit,NOM,B1,117.8316,157.845,34.60961,ɛspʁi,esprit,0-1-0,/esprit,头脑；幽灵,target_content_with_gloss,1.0,1
10936,remettre,remettre,VER,B1,116.8434,144.367,21.08236,ʁəmɛtʁ,mettre,1-1-1,_re/mett(re).re,交付；交纳,target_content_with_gloss,1.0,1
12562,système,système,NOM,B1,116.5031,109.794,22.61482,sistɛm,système,0-0-1,.e,体制；体系,target_content_with_gloss,1.0,1
1126,avenir,avenir,NOM,B1,110.2962,60.111,18.44152,avəniʁ,venir,1-1-1,_à/ven(ir).ir,前景；前程,target_content_with_gloss,1.0,1
9199,paraître,paraître,VER,B1,109.9528,92.367,19.84997,paʁɛtʁ,paraître,0-1-0,/paraître,出笼,target_content_with_gloss,1.0,1
10105,professionnel,professionnel,ADJ,B1,107.607,31.598,8.6237,pʁofɛsjonɛl,professer,0-1-1,/profession[n].el,专业；专业人员,target_content_with_gloss,1.0,1
13951,élever,élever,VER,B1,106.478,49.93,10.56491,ɛləve,lever,1-1-1,_é/lev(er).er,上涨；举起,target_content_with_gloss,1.0,1
7436,ligne,ligne,NOM,B1,106.0246,110.218,26.82639,liɲ,ligne,0-1-1,/lign(e).e,外形；线条,target_content_with_gloss,1.0,1
152,action,action,NOM,B1,105.6987,70.348,15.18065,aksjɔ̃,acte,0-1-1,/act(e).ion,举动；举措,target_content_with_gloss,1.0,1
2783,compte,compte,NOM,B1,105.2427,159.339,56.54776,kɔ̃t,compter,0-1-1,/compt(er).e,帐户；帐目,target_content_with_gloss,1.0,1
1843,cadre,cadre,NOM,B1,104.1951,14.342,4.50092,kadʁ,cadre,0-1-1,/cadr(e).e,干部；框架,target_content_with_gloss,1.0,1
913,assurer,assurer,VER,B1,103.4754,144.633,21.85548,asyʁe,sûr,1-1-1,_a(d)/s/sûr.er,保证；保障,target_content_with_gloss,1.0,1
11545,résultat,résultat,NOM,B1,102.557,67.554,13.14758,ʁezylta,résulter,0-1-1,/résult(er).at,下文；产物,target_content_with_gloss,1.0,1
8354,mouvement,mouvement,NOM,B1,102.1698,43.288,10.31537,muvəmɑ̃,mouvoir,0-1-1,/mouv(oir).ement,乐章；动作,target_content_with_gloss,1.0,1
161,actuel,actuel,ADJ,B1,99.2638,19.177,3.95744,aktɥɛl,actuel,0-1-0,/actuelle,今；新,target_content_with_gloss,1.0,1
9558,physique,physique,ADJ,B1,96.0383,22.563,10.11023,fizik,physique,0-1-0,/physique,体魄；外貌,target_content_with_gloss,1.0,1
7024,intérêt,intérêt,NOM,B1,95.4107,86.085,24.69382,ɛ̃teʁɛ,intérêt,0-1-1,/intér(êt).êt,兴致；兴趣,target_content_with_gloss,1.0,1
7430,lier,lier,VER,B1,93.3809,46.323,7.48163,lje,lier,0-1-1,/li(er).er,捆绑；接上,target_content_with_gloss,1.0,1
3347,crime,crime,NOM,B1,92.0361,123.896,22.49847,kʁim,crime,0-1-1,/crim(e).e,犯罪；犯罪行为,target_content_with_gloss,1.0,1
13384,valoir,valoir,VER,B1,91.3803,187.557,37.66534,valwaʁ,valoir,0-1-0,/valoir,值得；有价值,target_content_with_gloss,1.0,1
13809,échapper,échapper,VER,B1,91.0107,88.165,14.63411,eʃape,chappe,1-1-1,_é/chapp(e).er,逃脱；溜走,target_content_with_gloss,1.0,1
7736,maladie,maladie,NOM,B1,90.9964,57.076,13.32364,maladi,malade,0-1-1,/malad(e).ie,毛病；疾病,target_content_with_gloss,1.0,1
866,assassin,assassin,NOM,B1,90.7489,36.674,8.33435,asasɛ̃,assassin,0-1-0,/assassin,凶手；刺客,target_content_with_gloss,1.0,1
13514,victime,victime,NOM,B1,89.6622,148.93,18.50735,viktim,victime,0-1-1,/victim(e).e,伤者；受害人,target_content_with_gloss,1.0,1
9755,poche,poche,NOM,B1,89.2665,51.13,13.4553,pɔʃ,poche,0-1-1,/poch(e).e,口袋；囊袋,target_content_with_gloss,1.0,1
3069,contraire,contraire,NOM,B1,88.2952,44.057,18.74617,kɔ̃tʁɛʁ,contraire,1-0-1,_contr(a).aire,反义；相反,target_content_with_gloss,1.0,1
4592,empêcher,empêcher,VER,B1,87.7447,116.614,22.76791,ɑ̃peʃe,empêcher,0-1-1,/empêch(er).er,以防；免受,target_content_with_gloss,1.0,1
9563,phénomène,phénomène,NOM,B1,87.0445,8.953,2.53215,fenomɛn,phénomène,0-1-1,/phénomèn(e).e,怪人；怪圈,target_content_with_gloss,1.0,1
8035,mesure,mesure,NOM,B1,86.6624,35.032,10.3169,məzyʁ,mesure,0-1-1,/mesur(e).e,份儿；分寸,target_content_with_gloss,1.0,1
986,attirer,attirer,VER,B1,86.4715,64.294,9.35242,atiʁe,tirer,1-1-1,_a(d)/tir(er).er,吸引；唤起,target_content_with_gloss,1.0,1
6484,importer,importer,VER,B1,84.3123,336.826,68.75995,ɛ̃pɔʁte,porter,1-1-1,_i(n)/m/port(er).er,传入；入口,target_content_with_gloss,1.0,1
5406,formation,formation,NOM,B1,82.423,16.864,5.51592,fɔʁmasjɔ̃,former,0-1-2,/form(er).at.ion,地层；教养,target_content_with_gloss,1.0,1
6664,individu,individu,NOM,B1,81.9589,13.709,3.19351,ɛ̃dividy,individu,0-1-0,/individu,个人；个体,target_content_with_gloss,1.0,1
1030,augmenter,augmenter,VER,B1,80.789,35.614,4.75352,ogmɑ̃te,augmenter,0-1-1,/augment(er).er,上扬；上调,target_content_with_gloss,1.0,1
4860,estimer,estimer,VER,B1,79.7074,19.699,5.1286,ɛstime,estime,0-1-1,/estim(e).er,估价；估计,target_content_with_gloss,1.0,1
14222,éviter,éviter,VER,B1,79.4855,99.873,22.55358,evite,éviter,0-1-1,/évit(er).er,以防；免除,target_content_with_gloss,1.0,1
13890,édition,édition,NOM,B1,79.3059,8.899,2.83221,edisjɔ̃,éditer,0-1-1,/édit(er).ion,出版；版本,target_content_with_gloss,1.0,1
214,adresser,adresser,VER,B1,79.2959,24.731,20.56185,adʁese,dresser,1-1-1,_a(d)/dress(er).er,致,target_content_with_gloss,1.0,1
11190,risque,risque,NOM,B1,78.0893,76.057,29.39375,ʁisk,risque,0-1-1,/risqu(e).e,危险性；风险,target_content_with_gloss,1.0,1
3557,danger,danger,NOM,B1,77.531,84.573,25.03674,dɑ̃ʒe,danger,0-1-0,/danger,危险；危难,target_content_with_gloss,1.0,1
3286,couteau,couteau,NOM,B1,77.2596,57.532,12.69443,kuto,couteau,0-1-0,/couteau,切刀；利刀,target_content_with_gloss,1.0,1
12748,tendre,tendre,VER,B1,76.6274,24.342,5.45009,tɑ̃dʁ,tendre,0-1-1,/tend(re).re,交给；亲爱,target_content_with_gloss,1.0,1
12763,tenter,tenter,VER,B1,75.791,90.07,10.98745,tɑ̃te,tenter,0-1-1,/tent(er).er,尝试；引诱,target_content_with_gloss,1.0,1
2227,charger,charger,VER,B1,75.4802,83.199,19.19626,ʃaʁʒe,charge,0-1-1,/charg(e).er,冲锋；加载,target_content_with_gloss,1.0,1
10890,rejoindre,rejoindre,VER,B1,75.4008,107.892,17.38824,ʁəʒwɛ̃dʁ,joindre,1-1-1,_re/joind(re).re,加入；加盟,target_content_with_gloss,1.0,1
4576,employé,employé,NOM,B1,74.2746,39.38,7.88732,ɑ̃plwaje,ployer,1-1-1,_em/plo(yer).é,从业人员；员工,target_content_with_gloss,1.0,1
12746,tendance,tendance,NOM,B1,73.5478,16.747,6.02266,tɑ̃dɑ̃s,tendre,0-1-1,/tend(re).ance,倾向；动向,target_content_with_gloss,1.0,1
253,affirmer,affirmer,VER,B1,72.9739,16.478,2.36681,afiʁme,ferme,1-1-1,_a(d)/f/f(e/i)rm(e).er,断定；断言,target_content_with_gloss,1.0,1
2754,comportement,comportement,NOM,B1,72.9062,30.168,10.51133,kɔ̃pɔʁtəmɑ̃,porter,1-1-1,_com/port(er).ement,为人；习性,target_content_with_gloss,1.0,1
2972,consommation,consommation,NOM,B1,72.6592,4.5,1.61513,kɔ̃somasjɔ̃,somme,1-1-1,_con/somm(e).ation,摄入；消耗,target_content_with_gloss,1.0,1
6489,imposer,imposer,VER,B1,72.209,18.066,2.95009,ɛ̃poze,poser,1-1-1,_i(n)/m/pos(er).er,强求；征收,target_content_with_gloss,1.0,1
9799,policier,policier,NOM,B1,72.1396,42.108,8.49357,polisje,police,0-1-1,/police.ier,执法人员；警员,target_content_with_gloss,1.0,1
11408,réduire,réduire,VER,B1,71.1308,33.415,5.18371,ʁedɥiʁ,{duire},1-1-1,_ré/{dui(re)}.re,减削；减小,target_content_with_gloss,1.0,1
5484,franc,franc,NOM,B1,71.0135,8.047,5.18677,fʁɑ̃,franc,0-1-0,/franc,坦率；坦白,target_content_with_gloss,1.0,1
3258,courant,courant,NOM,B1,70.8917,120.987,38.93754,kuʁɑ̃,courir,0-1-1,/cour(ir).ant,常务；常见,target_content_with_gloss,1.0,1
7728,majorité,majorité,NOM,B1,70.4355,9.677,3.49663,maʒoʁite,§maj§,0-1-2,/§maj§.or.ité,大多数,target_content_with_gloss,1.0,1
14169,étrange,étrange,ADJ,B1,70.2049,82.456,22.8169,etʁɑ̃ʒ,étrange,0-1-1,/étrang(e).e,古怪；奇异,target_content_with_gloss,1.0,1
9685,planète,planète,NOM,B1,69.9259,64.111,10.6583,planɛt,planète,0-1-1,/planèt(e).e,地球；星球,target_content_with_gloss,1.0,1
3415,création,création,NOM,B1,69.5042,11.459,3.71555,kʁeasjɔ̃,créer,0-1-1,/cré(er).ation,创作；原图,target_content_with_gloss,1.0,1
10019,preuve,preuve,NOM,B1,69.4429,146.171,22.71127,pʁœv,prouver,0-1-1,/pr(o/e)uv(er).e,佐证；凭证,target_content_with_gloss,1.0,1
11585,révolution,révolution,NOM,B1,69.417,16.358,3.65432,ʁevolysjɔ̃,volte,1-1-1,_ré/vol(te).ution,回转；革命,target_content_with_gloss,1.0,1
7664,machine,machine,NOM,B1,68.7917,70.408,14.41366,maʃin,machine,0-1-1,/machin(e).e,一台；机器,target_content_with_gloss,1.0,1
964,atteindre,atteindre,VER,B1,67.648,71.627,12.70514,atɛ̃dʁ,teindre,1-1-1,_a(d)/tein(dre).dre,击中；到达,target_content_with_gloss,1.0,1
8126,ministre,ministre,NOM,B1,67.5458,41.737,5.37508,ministʁ,ministre,0-1-1,/minist(re).re,部长,target_content_with_gloss,1.0,1
4738,entourer,entourer,VER,B1,66.944,22.962,3.56246,ɑ̃tuʁe,tour,1-1-1,_en/tour.er,围起；围起来,target_content_with_gloss,1.0,1
9036,oser,oser,VER,B1,65.9304,65.601,5.68279,oze,oser,0-1-1,/os(er).er,勇于；敢于,target_content_with_gloss,1.0,1
4993,expression,expression,NOM,B1,64.714,19.497,6.92437,ɛkspʁɛsjɔ̃,presse,1-1-1,_ex/press(er).ion,劲儿；眼神,target_content_with_gloss,1.0,1
10905,relever,relever,VER,B1,64.5561,35.965,6.11451,ʁələve,lever,1-1-1,_re/lev(er).er,免除；打捞,target_content_with_gloss,1.0,1
13320,usage,usage,NOM,B1,63.7118,12.247,4.703,yzaʒ,us,0-1-1,/us.age,习俗；惯例,target_content_with_gloss,1.0,1
9961,poursuivre,poursuivre,VER,B1,63.7078,70.763,9.04164,puʁsɥivʁ,pour,0-2-1,/pour/suiv(re).re,奉行；尾随,target_content_with_gloss,1.0,1
3074,contrat,contrat,NOM,B1,62.7264,58.203,12.43417,kɔ̃tʁa,contrat,0-1-0,/contra(c)t(er),合同；合约,target_content_with_gloss,1.0,1
11887,serrer,serrer,VER,B1,62.4928,38.082,5.87416,seʁe,serrer,0-1-1,/serre.er,夹紧；拢攥,target_content_with_gloss,1.0,1
4581,emporter,emporter,VER,B1,62.4841,46.911,6.57379,ɑ̃pɔʁte,porter,1-1-1,_em/port(er).er,发怒；发脾气,target_content_with_gloss,1.0,1
5765,geste,geste,NOM,B1,62.3497,30.155,9.22229,ʒɛst,geste,0-1-1,/gest(e).e,举动；动作,target_content_with_gloss,1.0,1
8947,opposer,opposer,VER,B1,62.2311,18.206,3.36957,opoze,poser,1-1-1,_o(b)/p/pos(er).er,对立；抗拒,target_content_with_gloss,1.0,1
9413,pensée,pensée,NOM,B1,61.8074,46.184,9.63105,pɑ̃se,penser,0-1-1,/pens(er).ée,心思；心机,target_content_with_gloss,1.0,1
2848,condamner,condamner,VER,B1,61.7749,34.684,6.61666,kɔ̃dane,damner,1-1-1,_con/damn(er).er,判刑；判处,target_content_with_gloss,1.0,1
12981,trace,trace,NOM,B1,61.2653,68.282,12.59951,tʁas,tracer,0-1-1,/trac(er).e,印记；屈雷丝,target_content_with_gloss,1.0,1
10115,profond,profond,ADJ,B1,61.2585,39.453,8.78291,pʁofɔ̃,fond,1-1-0,_pro/fond,厚重；彻底,target_content_with_gloss,1.0,1
7224,juger,juger,VER,B1,61.1578,56.636,15.21739,ʒyʒe,juge,0-1-1,/jug(e).er,判定；判断,target_content_with_gloss,1.0,1
2122,centaine,centaine,NOM,B1,61.0692,34.918,9.81629,sɑ̃tɛn,cent,0-1-1,/cent.aine,百,target_content_with_gloss,1.0,1
13873,écriture,écriture,NOM,B1,60.8183,14.842,4.58818,ekʁityʁ,écrire,0-1-1,/écri(re)/t.ure,字句；字迹,target_content_with_gloss,1.0,1
12131,souffrir,souffrir,VER,B1,60.6316,85.766,10.07808,sufʁiʁ,souffrir,0-1-1,/souffr(ir).ir,受罪；受苦,target_content_with_gloss,1.0,1
9509,peuple,peuple,NOM,B1,60.3223,69.737,12.41733,pøpl,peuple,0-1-1,/peupl(e).e,人民；大众,target_content_with_gloss,1.0,1
10056,privé,privé,ADJ,B1,60.1685,51.057,14.86528,pʁive,priver,0-1-1,/priv(er).é,私人；私家,target_content_with_gloss,1.0,1
9067,ouvert,ouvert,ADJ,B1,60.1455,42.218,24.06461,uvɛʁ,ouvrir,0-1-1,/ouv(rir).ert,公开；开着,target_content_with_gloss,1.0,1
12068,sombre,sombre,ADJ,B1,59.8566,34.237,10.3414,sɔ̃bʁ,sombre,0-1-0,/sombre,幽冥；惨淡,target_content_with_gloss,1.0,1
4574,employer,employer,VER,B1,58.7032,16.272,7.88732,ɑ̃plwaje,ployer,1-1-1,_em/plo(yer).er,任用；使出,target_content_with_gloss,1.0,1
5071,faible,faible,ADJ,B1,58.4272,45.687,16.33037,fɛbl,faible,0-1-0,/faible,优柔；单薄,target_content_with_gloss,1.0,1
2161,cesser,cesser,VER,B1,58.2042,53.687,10.31078,sese,{ces/d},0-1-1,/{ce(d)/ss}.er,作罢；停住,target_content_with_gloss,1.0,1
13830,éclairer,éclairer,VER,B1,57.8709,12.873,2.1831,ekleʁe,éclair,0-1-1,/éclair.er,侦查；启发,target_content_with_gloss,1.0,1
13566,violence,violence,NOM,B1,57.6116,32.108,9.62645,vjolɑ̃s,viol,0-1-1,/viol.ence,强暴；暴力,target_content_with_gloss,1.0,1
4830,espèce,espèce,NOM,B1,57.5166,98.184,24.95407,ɛspɛs,espèce,0-1-0,/espèce,品种；物种,target_content_with_gloss,1.0,1
13635,voie,voie,NOM,B1,57.3975,54.266,23.22566,vwa,voie,0-1-0,/voie,步道；渠道,target_content_with_gloss,1.0,1
13896,éducation,éducation,NOM,B1,57.2962,19.095,6.55236,edykasjɔ̃,éduquer,0-1-1,/édu(quer)/c.ation,家教；教养,target_content_with_gloss,1.0,1
11949,signifier,signifier,VER,B1,57.0477,94.44,25.24954,siɲifje,signe,0-1-2,/sign(e).ifi.er,代指；意味着,target_content_with_gloss,1.0,1
7986,membre,membre,NOM,B1,56.9593,76.054,13.31904,mɑ̃bʁ,membre,0-1-1,/membr(e).e,会员；团员,target_content_with_gloss,1.0,1
7988,menacer,menacer,VER,B1,56.8977,53.772,14.06307,mənase,menacer,0-1-1,/menac(er).er,吓唬；威胁,target_content_with_gloss,1.0,1
7597,lutte,lutte,NOM,B1,56.8041,19.408,7.70667,lyt,lutte,0-1-1,/lutt(e).e,争夺战；战事,target_content_with_gloss,1.0,1
12043,sol,sol,NOM,B1,56.6616,58.747,18.95285,sɔl,sol,0-1-0,/sol,土地；土壤,target_content_with_gloss,1.0,1
678,appel,appel,NOM,B1,56.5989,148.734,31.13135,apɛl,appel,0-1-0,/appel,申诉；诉求,target_content_with_gloss,1.0,1
4317,déplacer,déplacer,VER,B1,56.4426,49.772,7.08206,deplase,place,1-1-1,_dé/plac(e).er,出门；动弹,target_content_with_gloss,1.0,1
10241,provoquer,provoquer,VER,B1,56.2945,35.032,4.44274,pʁovoke,vocation,1-1-1,_pro/voc(ation)/qu.er,叫阵；引发,target_content_with_gloss,1.0,1
3997,durée,durée,NOM,B1,56.2219,7.405,3.30833,dyʁe,durer,0-1-1,/dur(er).ée,使用寿命；持续时间,target_content_with_gloss,1.0,1
7443,limiter,limiter,VER,B1,55.9675,15.044,8.74617,limite,limite,0-1-1,/limit(e).er,制约；定格,target_content_with_gloss,1.0,1
1812,bête,bête,NOM,B1,55.8413,37.5,18.59461,bɛt,bête,0-1-0,/bête,傻乎乎；少根筋,target_content_with_gloss,1.0,1
2747,complètement,complètement,ADV,B1,55.3663,100.712,32.50153,kɔ̃plɛtəmɑ̃,complet,0-1-1,/complet.ement,一干；一干二净,target_content_with_gloss,1.0,1
11370,récent,récent,ADJ,B1,54.9965,18.003,2.65922,ʁesɑ̃,récent,0-1-0,/récent,挽近；晚近,target_content_with_gloss,1.0,1
4663,enfuir,enfuir,VER,B1,54.9932,73.329,9.91886,ɑ̃fɥiʁ,fuir,1-1-1,_en/fu(ir).ir,撒脚；逃亡,target_content_with_gloss,1.0,1
13300,unique,unique,ADJ,B1,54.6053,44.959,15.71647,ynik,unique,1-0-1,_uni.que,别致；单一,target_content_with_gloss,1.0,1
2971,consommateur,consommateur,NOM,B1,54.2489,2.665,0.48224,kɔ̃somatœʁ,somme,1-1-1,_con/somm(e).ateur,消费者；用户,target_content_with_gloss,1.0,1
1469,blesser,blesser,VER,B1,54.0862,121.687,21.86007,blese,blesser,0-1-1,/bless(er).er,伤人；伤害,target_content_with_gloss,1.0,1
10165,prononcer,prononcer,VER,B1,54.0433,21.152,2.86895,pʁonɔ̃se,{nonc},1-1-1,_pro/{nonc}.er,出口；出声,target_content_with_gloss,1.0,1
8194,modèle,modèle,NOM,B1,53.8115,28.899,10.02449,modɛl,modèle,0-1-1,/modèl(e).e,典型；典范,target_content_with_gloss,1.0,1
4300,dépasser,dépasser,VER,B1,53.3434,44.693,6.60594,depase,pas,1-1-1,_dé/pas[s].er,优于；大于,target_content_with_gloss,1.0,1
14037,épaule,épaule,NOM,B1,53.1943,31.718,6.85242,epol,épaule,0-1-1,/épaul(e).e,肩头；肩膀,target_content_with_gloss,1.0,1
4505,effort,effort,NOM,B1,53.1533,38.975,8.15983,efɔʁ,force,1-1-0,_e(x)/f/for(ce)/t,心血,target_content_with_gloss,1.0,1
12236,spécialiste,spécialiste,NOM,B1,52.6466,13.744,4.27281,spesjalist,spécial,0-1-1,/spécial.iste,专家,target_content_with_gloss,1.0,1
1585,bouger,bouger,VER,B1,52.2541,192.661,28.87936,buʒe,bouger,0-1-1,/boug(er).er,出门；动弹,target_content_with_gloss,1.0,1
13163,trou,trou,NOM,B1,52.0019,85.389,20.60625,tʁu,trou,0-1-0,/trou,漏洞；破洞,target_content_with_gloss,1.0,1
1213,baisser,baisser,VER,B1,51.6029,61.551,10.46081,bese,bas,0-1-1,/baiss(er).er,放低；下降,target_content_with_gloss,1.0,1
3574,debout,debout,ADV,B1,51.5666,77.896,24.39375,dəbu,bout,1-1-0,_de/bout,直立；站立,target_content_with_gloss,1.0,1
4950,existence,existence,NOM,B1,51.5574,20.883,7.81078,ɛgzistɑ̃s,exister,0-1-1,/exist(er).ence,人生；今世,target_content_with_gloss,1.0,1
5243,fil,fil,NOM,B1,51.3477,56.339,54.70912,fil,fil,0-1-0,/fil,线缆；话头,target_content_with_gloss,1.0,1
710,apprécier,apprécier,VER,B1,50.8406,122.218,20.92162,apʁesje,{préci},1-1-1,_a(d)/p/{préci}.er,估价；受用,target_content_with_gloss,1.0,1
7383,lecteur,lecteur,NOM,B1,50.4329,8.649,1.81108,lɛktœʁ,lire,0-1-1,/lect(ure).eur,朗读者；读者,target_content_with_gloss,1.0,1
8942,opinion,opinion,NOM,B1,49.8755,30.278,9.34323,opinjɔ̃,opinion,0-1-1,/opin(er).on,主张；意思,target_content_with_gloss,0.999888,1
203,adopter,adopter,VER,B1,49.7389,20.75,2.96693,adɔpte,opter,1-1-1,_ad/opt(er).er,摆出；过房,target_content_with_gloss,0.999765,1
11830,sein,sein,NOM,B1,49.7018,44.354,8.22413,sɛ̃,sein,0-1-0,/sein,乳房；前胸,target_content_with_gloss,0.999732,1
9398,pencher,pencher,VER,B1,49.3567,15.209,2.16473,pɑ̃ʃe,pencher,0-1-1,/pench(er).er,倾向于；弯腰,target_content_with_gloss,0.999419,1
13007,traiter,traiter,VER,B1,49.2583,104.415,11.14666,tʁete,traiter,0-1-1,/trait(er).er,主治；从事,target_content_with_gloss,0.999329,1
10051,priver,priver,VER,B1,49.1221,24.994,14.86528,pʁive,privé,0-1-1,/privé.er,剥夺,target_content_with_gloss,0.999205,1
